statePostalCode,state,county,stationId,placeName,totalArea,network,landUseCode,sampleTypeDescription,sampleMediumDescription,siteVisitPurposeDescription,resultDatetime,Ammonia_wf_00608,Ammonia_wf_00608_RemarkCode,Ammonia_wf_00608_RemarkName,Ammonia_wf_00608_ReportUnits,NO3+NO2_wf_00631,NO3+NO2_wf_00631_RemarkCode,NO3+NO2_wf_00631_RemarkName,NO3+NO2_wf_00631_ReportUnits,Phosphorus_wu_00665,Phosphorus_wu_00665_RemarkCode,Phosphorus_wu_00665_RemarkName,Phosphorus_wu_00665_ReportUnits,Phosphorus_wf_00666,Phosphorus_wf_00666_RemarkCode,Phosphorus_wf_00666_RemarkName,Phosphorus_wf_00666_ReportUnits,Orthophosphate__00671,Orthophosphate__00671_RemarkCode,Orthophosphate__00671_RemarkName,Orthophosphate__00671_ReportUnits,Totalnitrogen__62855,Totalnitrogen__62855_RemarkCode,Totalnitrogen__62855_RemarkName,Totalnitrogen__62855_ReportUnits
,MANITOBA,UNSPECIFIED,5102500,"RED RIVER OF THE NORTH AT EMERSON, MANITOBA",40200,MIXED,mx,REGULAR,SURFACE WATER,"FIXED FREQUENCY, SURFACE-WATER",1/7/99 10:00,0.12,--,,mg/l as N,0.657,--,,mg/l as N,0.1074,--,,mg/l,0.0816,--,,mg/l,0.066,--,,mg/l as P,,,,
,MANITOBA,UNSPECIFIED,5102500,"RED RIVER OF THE NORTH AT EMERSON, MANITOBA",40200,MIXED,mx,REGULAR,SURFACE WATER,"FIXED FREQUENCY, SURFACE-WATER",2/4/99 10:45,0.149,--,,mg/l as N,0.634,--,,mg/l as N,0.0938,--,,mg/l,0.0778,--,,mg/l,0.075,--,,mg/l as P,,,,
,MANITOBA,UNSPECIFIED,5102500,"RED RIVER OF THE NORTH AT EMERSON, MANITOBA",40200,MIXED,mx,REGULAR,SURFACE WATER,"FIXED FREQUENCY, SURFACE-WATER",1/27/00 11:15,0.143,--,,mg/l as N,0.248,--,,mg/l as N,0.076,--,,mg/l,0.058,--,,mg/l,0.035,--,,mg/l as P,,,,
,MANITOBA,UNSPECIFIED,5102500,"RED RIVER OF THE NORTH AT EMERSON, MANITOBA",40200,MIXED,mx,REGULAR,SURFACE WATER,"FIXED FREQUENCY, SURFACE-WATER",3/7/00 11:00,0.196,--,,mg/l as N,3.705,--,,mg/l as N,0.36,--,,mg/l,0.265,--,,mg/l,0.2,--,,mg/l as P,,,,
,MANITOBA,UNSPECIFIED,5102500,"RED RIVER OF THE NORTH AT EMERSON, MANITOBA",40200,MIXED,mx,REGULAR,SURFACE WATER,NULL VALUE (IN NWIS),1/5/94 10:00,0.13,--,,mg/l as N,0.28,--,,mg/l as N,0.06,--,,mg/l,0.06,--,,mg/l,0.05,--,,mg/l as P,,,,
,MANITOBA,UNSPECIFIED,5102500,"RED RIVER OF THE NORTH AT EMERSON, MANITOBA",40200,MIXED,mx,REGULAR,SURFACE WATER,NULL VALUE (IN NWIS),4/7/94 10:10,0.37,--,,mg/l as N,5.8,--,,mg/l as N,0.49,--,,mg/l,0.24,--,,mg/l,0.22,--,,mg/l as P,,,,
,MANITOBA,UNSPECIFIED,5102500,"RED RIVER OF THE NORTH AT EMERSON, MANITOBA",40200,MIXED,mx,REGULAR,SURFACE WATER,NULL VALUE (IN NWIS),4/14/94 10:10,0.16,--,,mg/l as N,3.1,--,,mg/l as N,0.21,--,,mg/l,0.19,--,,mg/l,0.17,--,,mg/l as P,,,,
,MANITOBA,UNSPECIFIED,5102500,"RED RIVER OF THE NORTH AT EMERSON, MANITOBA",40200,MIXED,mx,REGULAR,SURFACE WATER,NULL VALUE (IN NWIS),5/11/94 10:25,0.03,--,,mg/l as N,0.33,--,,mg/l as N,0.2,--,,mg/l,0.04,--,,mg/l,0.04,--,,mg/l as P,,,,
,MANITOBA,UNSPECIFIED,5102500,"RED RIVER OF THE NORTH AT EMERSON, MANITOBA",40200,MIXED,mx,REGULAR,SURFACE WATER,NULL VALUE (IN NWIS),3/8/95 14:00,0.08,--,,mg/l as N,0.57,--,,mg/l as N,0.07,--,,mg/l,0.04,--,,mg/l,0.03,--,,mg/l as P,,,,
,MANITOBA,UNSPECIFIED,5102500,"RED RIVER OF THE NORTH AT EMERSON, MANITOBA",40200,MIXED,mx,REGULAR,SURFACE WATER,NULL VALUE (IN NWIS),3/21/95 15:15,0.29,--,,mg/l as N,3.2,--,,mg/l as N,0.42,--,,mg/l,0.36,--,,mg/l,0.35,--,,mg/l as P,,,,
