stationId,statePostalCode,placeName,latitude,longitude,LandUseType,pAG,pURB,pFOR,TN,TP,NO3,NH4
5341685,WI,"WILLOW RIVER AT 210TH AVE. NEAR DEER PARK, WI",45.165,-92.38,Agricultural,60.624670789999996,0.675393589,27.451569482000004,1.6749999999999998,0.1293,1.3645,0.040495
5268700,MN,"LITTLE ROCK CREEK AT RICE, MN",45.763,-94.204,Agricultural,75.54712093,0.054724644,8.730338038000001,6.111,0.0576,5.3980999999999995,0.02688
5082500,ND,"RED RIVER OF THE NORTH AT GRAND FORKS, ND",47.926,-97.029,Agricultural,64.900617762,0.7246634319999999,7.785130533,1.29,0.683,0.721,0.269
12505450,WA,"GRANGER DRAIN AT GRANGER, WA",46.343,-120.186,Agricultural,60.66739672,4.37309715,0,3.346,0.244,2.896,0.03021
1483500,DE,"LEIPSIC RIVER NEAR CHESWOLD, DE",39.232,-75.632,Agricultural,69.43607088,1.227850893,11.969708106,4.489,0.1534,4.0265,0.071
5451900,IA,"RICHLAND CREEK NEAR HAVEN, IA",41.899,-92.474,Agricultural,86.89109669000001,0.170421918,1.560965971,4.576,0.194,3.906,0.01122
7053250,AR,"YOCUM CREEK NEAR OAK GROVE, AR",36.454,-93.356,Agricultural,69.707534507,1.6780272920000001,22.855709203000004,3.967,0.0475,3.6905,0.02375
6803530,NE,"ROCK CREEK NEAR CERESCO, NEBR.",41.015,-96.544,Agricultural,75.818219294,0.837308419,2.674219088,2.615,0.4446,2.159,0.04802
5572000,IL,"SANGAMON RIVER AT MONTICELLO, IL",40.03,-88.588,Agricultural,87.873274357,4.036956361,2.531453512,6.888999999999999,0.154,6.3065,0.037075
4087000,WI,"MILWAUKEE RIVER AT MILWAUKEE, WI",43.1,-87.908,Agricultural,50.79377394,12.770005723999999,13.646705331,1.981,0.0861,1.151,0.04
1484100,DE,"BEAVERDAM BRANCH AT HOUSTON, DE",38.905,-75.512,Agricultural,56.54558752,0.012189176,25.694783029,4.306,0.0185,4.217,0.026
5467000,IL,"POPE CREEK NEAR KEITHSBURG, IL",41.128,-90.919,Agricultural,80.36706114100001,2.668642399,12.708985841,3.039,0.1637,2.744,0.02931
4085068,WI,"ASHWAUBENON CREEK NEAR LITTLE RAPIDS, WI",44.414,-88.127,Agricultural,82.37837838,8.489973845,3.773321709,9.796,0.456,7.855,0.168
11391100,CA,SACRAMENTO SLOUGH NR KNIGHTS LANDING CA,38.779,-121.638,Agricultural,92.44822578,2.690653409,0.00558589,0.567,0.1752,0.06,0.04
7052790,MO,"LITTLE FLAT CREEK NEAR MCDOWELL, MO",36.821,-93.794,Agricultural,54.873602242000004,0.590262107,37.627060369000006,2.512,0.0306,2.306,0.03913
7188855,MO,"NORTH INDIAN CREEK NEAR WANDA, MO",36.811,-94.21,Agricultural,80.666873925,0.5921181050000001,13.344708168,4.709,0.051949999999999996,4.722,0.019875
5495500,IL,"BEAR CREEK NEAR MARCELLINE, IL",40.142,-91.337,Agricultural,74.99455001,3.7096762959999996,18.825808361,1.404,0.1446,0.717,0.02
4081897,WI,"SAWYER CREEK AT WESTHAVEN ROAD AT OSHKOSH, WI",44.015,-88.594,Agricultural,65.82278481,20.721987808999998,1.566856664,5.712,0.086,4.827999999999999,0.038
13094680,ID,MUD CREEK ABOVE CLEAR CREEK NEAR BUHL ID,42.626,-114.805,Agricultural,91.354275409,1.558318307,0.106292114,2.8985000000000003,0.11499999999999999,2.439,0.020635
5270103,MN,"SAUK RIVER BELOW LAKE OSAKIS NEAR OSAKIS, MN",45.861,-95.083,Agricultural,55.39103059,1.851060438,13.172959853999998,1.0915,0.050199999999999995,0.0165,0.025009999999999998
5326189,MN,SOUTH BRANCH RUSH RIVER AT CO RD 63 NR NORSELAND,44.465,-94.15,Agricultural,88.731174421,0.6183328220000001,1.336958234,9.609499999999999,0.2376,7.6735,0.030105
4085322,WI,"DEVILS RIVER AT ROSENCRANS ROAD NEAR MARIBEL, WI",44.309,-87.826,Agricultural,78.83956135,3.2860470850000003,7.332525237,1.5270000000000001,0.1402,0.525,0.04
1493499,MD,"MORGAN CREEK NEAR WORTON, MD",39.285,-76.007,Agricultural,88.70337135999999,0.660171774,1.105627484,2.962,0.09035,2.6,0.0875
1484640,DE,"UNITY BRANCH AT FAIRMOUNT, DE",38.662,-75.221,Agricultural,68.03182579400001,1.817420436,13.492462311,1.9445000000000001,0.08045,1.5554999999999999,0.04
40850683,WI,"ASHWAUBENON CREEK AT SOUTH BRIDGE RD NR DEPERE, WI",44.416,-88.123,Agricultural,82.37837838,8.489973845,3.773321709,2.072,0.416,1.179,0.04
7186670,MO,"SHOAL CREEK NEAR WHEATON, MO",36.776,-94.024,Agricultural,79.56690443999999,0.695811999,14.33051799,3.901,0.0564,3.612,0.02
5451200,IA,"SOUTH FORK IOWA RIVER NEAR NEW PROVIDENCE, IA",42.323,-93.169,Agricultural,88.322294879,0.6775758089999999,1.816788113,1.3295,0.06245,0.7726500000000001,0.02
149349945,MD,"MORGAN CRK TRIB NR MORNEC RD NR WORTON, MD",39.284,-76.009,Agricultural,88.70337135999999,0.660171774,1.105627484,7.6425,0.10905000000000001,7.2995,0.093
5432695,WI,"RIDGEWAY BRANCH NEAR HOLLANDALE, WI",42.94,-89.921,Agricultural,70.87486359,1.984357948,19.576209533,4.068,0.1012,3.864,0.01325
1491050,MD,"SPRING BRANCH NEAR GREENSBORO, MD",38.942,-75.789,Agricultural,70.99985777,0.30578865099999997,13.924050631,5.6075,0.041,5.441000000000001,0.06
5451072,IA,"SOUTH FORK IOWA RIV AT 190TH ST NR BLAIRSBURG, IA",42.514,-93.629,Agricultural,91.6923508,0.291398152,0.134491454,12.675,0.0735,11.492,0.02
4078085,WI,"BLACK OTTER CREEK NEAR HORTONVILLE, WI",44.335,-88.644,Agricultural,69.30636295,5.981334282000001,9.417882707,1.9695,0.07395,0.7275,0.048
149349949,MD,"MORGAN CRK. TRIB NR WORTON, MD",39.283,-76.01,Agricultural,88.70337135999999,0.660171774,1.105627484,8.3775,0.08035,8.119,0.0525
2444490,AL,"BOGUE CHITTO CREEK NEAR MEMPHIS, ALABAMA",33.092,-88.299,Agricultural,68.86983703,0.371445761,6.795887938999999,1.475,0.0763,0.368,0.04
5451075,IA,"SOUTH FORK IOWA RIV AT 180TH ST NR BLAIRSBURG, IA",42.528,-93.624,Agricultural,91.6923508,0.291398152,0.134491454,12.481,0.0525,11.124,0.02
