statePostalCode,state,county,stationId,siteNumber,placeName,huc,Region,totalArea,siteTypeDescription,latitude,longitude,latLongAccuracyDescription,googleMap
ME,MAINE,KENNEBEC,1049205,01049205,"KENNEBEC RIVER NEAR WATERVILLE, ME",1030003,New England,5179,STREAM,44.53,-69.646,5,"<a href=http://maps.google.com/?q=44.5305583333,-69.6468055556+(01049205)&z=14>google map</a>"
ME,MAINE,KENNEBEC,1049265,01049265,"KENNEBEC RIVER AT NORTH SIDNEY, MAINE",1030003,New England,5403,STREAM,44.472,-69.683,S,"<a href=http://maps.google.com/?q=44.4722222222,-69.6838888889+(01049265)&z=14>google map</a>"
ME,MAINE,SAGADAHOC,1059300,01059300,"ANDROSCOGGIN RIVER NEAR LISBON FALLS, MAINE",1040002,New England,3416.82,STREAM,43.983,-70.041,F,"<a href=http://maps.google.com/?q=43.9834114186,-70.0411635973+(01059300)&z=14>google map</a>"
ME,MAINE,YORK,1072540,01072540,"LITTLE RIVER NEAR LEBANON, ME",1060003,New England,17.7,STREAM,43.405,-70.85,5,"<a href=http://maps.google.com/?q=43.4057888889,-70.8507166667+(01072540)&z=14>google map</a>"
ME,MAINE,YORK,1072650,01072650,GREAT WORKS RIVER NR NORTH BERWICK ME,1060003,New England,23.4,STREAM,43.317,-70.738,5,"<a href=http://maps.google.com/?q=43.3175833333,-70.7389444444+(01072650)&z=14>google map</a>"
NH,NEW HAMPSHIRE,STRAFFORD,1072845,01072845,"ISINGLASS R, BATCHELDER RD, NR CTR STRAFFORD, NH",1060003,New England,22.94,STREAM,43.254,-71.102,S,"<a href=http://maps.google.com/?q=43.2541666667,-71.1027777778+(01072845)&z=14>google map</a>"
NH,NEW HAMPSHIRE,STRAFFORD,1072904,01072904,"BELLAMY RIVER AT BELLAMY RD, NR DOVER, NH",1060003,New England,26.43,STREAM,43.18,-70.889,S,"<a href=http://maps.google.com/?q=43.1802777778,-70.8894444444+(01072904)&z=14>google map</a>"
NH,NEW HAMPSHIRE,ROCKINGHAM,1073260,01073260,"LAMPREY R BLW COTTON RD, NR DEERFIELD CENTER, NH",1060003,New England,33.08,STREAM,43.083,-71.233,S,"<a href=http://maps.google.com/?q=43.0833333333,-71.2333333333+(01073260)&z=14>google map</a>"
NH,NEW HAMPSHIRE,STRAFFORD,1073458,01073458,"NORTH RIVER AT NH 152, NR NOTTINGHAM, NH",1060003,New England,28.9,STREAM,43.098,-71.059,S,"<a href=http://maps.google.com/?q=43.0980555556,-71.0594444444+(01073458)&z=14>google map</a>"
NH,NEW HAMPSHIRE,MERRIMACK,1089743,01089743,"LITTLE SUNCOOK RIVER AT BLACK HALL RD, @ EPSON, NH",1070002,New England,39.13,STREAM,43.223,-71.346,S,"<a href=http://maps.google.com/?q=43.2238888889,-71.3461111111+(01089743)&z=14>google map</a>"
NH,NEW HAMPSHIRE,HILLSBOROUGH,1090477,01090477,"BLACK BROOK AT DUNBARTON RD, NR MANCHESTER, NH",1070002,New England,20.72,STREAM,43.025,-71.504,S,"<a href=http://maps.google.com/?q=43.0252777778,-71.5047222222+(01090477)&z=14>google map</a>"
NH,NEW HAMPSHIRE,HILLSBOROUGH,1094005,01094005,"BABOOSIC BROOK @ BEDFORD ROAD, NEAR MERRIMACK, NH",1070002,New England,28.19,STREAM,42.893,-71.514,S,"<a href=http://maps.google.com/?q=42.8933333333,-71.5141666667+(01094005)&z=14>google map</a>"
