,COMID,CatAreaSqKm,WsAreaSqKm,CatPctFull,WsPctFull,PctOw2006Cat,PctIce2006Cat,PctUrbOp2006Cat,PctUrbLo2006Cat,PctUrbMd2006Cat,PctUrbHi2006Cat,PctBl2006Cat,PctDecid2006Cat,PctConif2006Cat,PctMxFst2006Cat,PctShrb2006Cat,PctGrs2006Cat,PctHay2006Cat,PctCrop2006Cat,PctWdWet2006Cat,PctHbWet2006Cat,PctOw2006Ws,PctIce2006Ws,PctUrbOp2006Ws,PctUrbLo2006Ws,PctUrbMd2006Ws,PctUrbHi2006Ws,PctBl2006Ws,PctDecid2006Ws,PctConif2006Ws,PctMxFst2006Ws,PctShrb2006Ws,PctGrs2006Ws,PctHay2006Ws,PctCrop2006Ws,PctWdWet2006Ws,PctHbWet2006Ws,longitude,latitude,region_vpu,PctImp2006Cat,PctImp2006Ws
1,-415250,18.7164,18.7164,100,100,0,0,0.572225428,0.067320639,0.038468936,0,0,0,22.2061935,0.201961916,6.049240239,0.543373726,6.24158492,0,64.0796307,0,0,0,0.572225428,0.067320639,0.038468936,0,0,0,22.2061935,0.201961916,6.049240239,0.543373726,6.24158492,0,64.0796307,0,-82.431,29.728,SA_03S,0.09920177,0.09920177
2,-81694,273.5433,273.5433,100,100,0.062841971,0,0.862349763,0.706067376,0.01776684,0,0.005593264,0,0,0,52.26938477,4.227191819,0,41.54578087,0.003619171,0.299404153,0.062841971,0,0.862349763,0.706067376,0.01776684,0,0.005593264,0,0,0,52.26938477,4.227191819,0,41.54578087,0.003619171,0.299404153,-119.603,46.738,PN_17,0.310603842,0.310603842
3,10080622,19.0467,108.5535,100,100,0.099229788,0,18.26773142,50.5741152,8.746397014,7.305202476,0,12.71558853,0,0,0,1.10570335,1.077351982,0.085054104,0.02362614,0,0.02901795,0,7.053849024,12.25718194,1.732786138,1.524685984,0,4.530116486,0,0,0,0.227998176,2.158935456,70.477138,0.008290843,0,-87.601751,40.116109,MS_05,32.86878042,7.552195001
4,10080736,4.8429,59.8347,100,100,0,0,5.928266122,1.170786099,0,0,0,19.01133618,0,0,0,0.167255157,2.267236573,71.12060955,0.334510314,0,2.350976941,0,3.611449543,3.24895086,0.126348089,0.016545583,0.221109156,5.133643187,0,0,0,0.561045681,1.350721237,82.4812358,0.897973918,0,-87.82532,40.06916,MS_05,0.841479279,1.430531113
5,10092262,9.1152,1067.6169,100,100,0,0,7.819905213,2.122827804,1.392180095,0,0,0.533175355,0.543048973,0,18.5821485,0,65.28436019,1.895734597,1.826619273,0,0.531679482,0,1.682541743,0.355492687,0.243120917,0.014330983,1.83124677,30.72866306,31.74194788,1.032168,24.77616269,0.555704954,5.594984493,0.676591013,0.234100828,0.001264499,-111.401,40.895,GB_16,1.943226698,0.382730828
6,10092410,1.4769,310.3605,100,100,0,0,3.960999391,0,0,0,0,69.77452773,3.534430225,0,20.78001219,0,0,0,1.4015844,0.548446069,0.568081312,0,0.295495077,0.010729458,0.002029897,0,5.461294205,19.40553002,61.38381012,1.574040511,9.604314982,1.646246865,0,0,0.045817686,0.002609868,-111.161,40.785,GB_16,0.186471664,0.024634256
7,10092644,1.3221,119.9394,100,100,0,0,4.969366916,0,0,0,0,44.24778761,8.713410483,0,35.73859769,0,6.330837304,0,0,0,0.094547747,0,1.019014602,0.099800399,0,0,1.269641169,41.05173112,42.67330002,2.696111536,10.55633095,0.291897408,0.161331472,0.012756442,0.073537136,0,-111.261,40.638,GB_16,0.098706603,0.085813336
8,10093078,0.2259,854.4321,100,100,0.796812749,0,15.13944223,0,0,0,0,0,8.764940239,0,64.94023904,0,4.780876494,0,5.577689243,0,0.652854686,0,1.078611162,0.153049025,0.053825225,0.001474664,2.27993541,30.64877829,36.1906698,1.226814863,20.54627863,0.693091938,5.415597097,0.81801702,0.239422185,0.001579997,-111.404,40.792,GB_16,0.454183267,0.14881674
9,10093082,30.3012,67.9239,100,100,0,0,5.049304978,2.506831413,0.971248663,0.121777355,0.118807176,7.134370916,0.834620411,0.014850897,80.90471664,0,1.930616609,0.118807176,0.29404776,0,0.098050907,0,7.467769077,2.765300579,2.521498324,0.206701912,0.086125797,22.75311047,10.19861934,0.579030356,51.64632773,0.015900147,1.428363212,0.05300049,0.180201667,0,-111.474,40.741,GB_16,1.928893905,3.170741079
10,10093088,8.4168,752.5305,100,100,0,0,3.635585971,0.074850299,0.0106929,0,0.0534645,9.95508982,27.78015398,0.096236099,39.51026518,0,17.55774166,0,1.325919589,0,0.25426212,0,1.030802074,0.15738897,0.060396223,0,2.566540492,30.42725843,39.50929564,1.379186624,16.54952191,0.786825252,6.082318258,0.928786275,0.265623785,0.001793947,-111.368,40.75,GB_16,0.171941831,0.148520891
11,10093110,4.5693,421.7409,100,100,0,0,1.418160331,0.295450069,0,0,0,51.74315541,27.35867638,0.118180028,16.13157376,0,0.827260193,0.354540083,1.753003742,0,0.419546693,0,0.329064599,0.018565901,0.002774215,0,4.203362776,27.88513042,54.93308806,1.552493486,9.232161263,1.288302842,0.067007966,0.003841221,0.061459536,0.003201017,-111.247,40.737,GB_16,0.122710262,0.029014023
12,10093110,4.5693,421.7409,100,100,0,0,1.418160331,0.295450069,0,0,0,51.74315541,27.35867638,0.118180028,16.13157376,0,0.827260193,0.354540083,1.753003742,0,0.419546693,0,0.329064599,0.018565901,0.002774215,0,4.203362776,27.88513042,54.93308806,1.552493486,9.232161263,1.288302842,0.067007966,0.003841221,0.061459536,0.003201017,-111.247,40.737,GB_16,0.122710262,0.029014023
