LandUseType,TN,log10TN
Agricultural,1.6749999999999998,0.224014811372864
Agricultural,6.111,0.7861122837198266
Agricultural,1.29,0.11058971029924898
Agricultural,3.346,0.5245259366263757
Agricultural,4.489,0.6521496054016529
Agricultural,4.576,0.6604860157849678
Agricultural,3.967,0.5984622004741506
Agricultural,2.615,0.4174716932032931
Agricultural,6.888999999999999,0.8381561847521478
Agricultural,1.981,0.2968844755385471
Agricultural,4.306,0.6340740254874684
Agricultural,3.039,0.4827307000799429
Agricultural,9.796,0.9910487764526764
Agricultural,0.567,-0.24641694110709345
Agricultural,2.512,0.40001963506515853
Agricultural,4.709,0.6729286904427224
Agricultural,1.404,0.14736710779378645
Agricultural,5.712,0.756788198768118
Agricultural,2.8985000000000003,0.4621733047067905
Agricultural,1.0915,0.03802374004515796
Agricultural,9.6095,0.9827007911139003
Agricultural,1.527,0.18383903705642116
Agricultural,2.962,0.4715850541851897
Agricultural,1.9445,0.28880794748347854
Agricultural,2.072,0.31638975107319545
Agricultural,3.901,0.5911759503117914
Agricultural,1.3295,0.12368834166758581
Agricultural,7.6425,0.8832354473981264
Agricultural,4.068,0.609380944250707
Agricultural,5.6075,0.7487692822550054
Agricultural,12.675,1.1029479680053735
Agricultural,1.9695,0.2943559851451606
Agricultural,8.3775,0.9231144365073091
Agricultural,1.475,0.16879202031418183
Agricultural,12.481,1.0962493831896114
Agricultural,4.626,0.6652056284346006
Agricultural,6.7364999999999995,0.828434314118396
Agricultural,1.811,0.2579184503140584
Agricultural,3.496,0.5435714239623655
Agricultural,3.822,0.5822906827189941
Forest,0.714,-0.14630178822382564
Forest,0.329,-0.48280410205002566
Forest,0.8645,-0.06323500239005861
Forest,0.4055,-0.3920091414528251
Forest,0.469,-0.32882715728491674
Forest,0.41,-0.38721614328026455
Forest,0.437,-0.3595185630295782
Forest,0.956,-0.019542107723899943
Forest,0.359,-0.44490555142168087
Forest,0.5549999999999999,-0.25570701687732383
Forest,0.616,-0.21041928783557454
Forest,0.417,-0.3798639450262425
Forest,0.268,-0.5718652059712112
Forest,0.4535,-0.3434227086038859
Forest,0.115,-0.9393021596463883
Forest,0.605,-0.2182446253475311
Forest,0.35,-0.4559319556497244
Forest,0.7605,-0.1189007816109828
Forest,0.069,-1.1611509092627446
Forest,0.227,-0.6439741428068773
Forest,0.277,-0.5575202309355514
Forest,0.068,-1.1674910872937636
Forest,0.481,-0.31785492362616824
Forest,0.6020000000000001,-0.22040350874217537
Forest,0.907,-0.04239271293990473
Forest,1.2405,0.0935967686082279
Forest,0.148,-0.8297382846050426
Forest,0.517,-0.2865094569060575
Forest,0.234,-0.6307841425898572
Forest,0.204,-0.6903698325741012
Forest,0.388,-0.41116827440579273
Forest,0.575,-0.24033215531036956
Forest,0.545,-0.2636034977233575
Forest,0.149,-0.826813731587726
Forest,0.8155,-0.08857603462370539
Forest,0.108,-0.9665762445130504
Forest,0.382,-0.41793663708829126
Forest,0.451,-0.34582345812203946
Forest,0.1,-1
Forest,0.2545,-0.5943122133272224
Urban,0.968,-0.014124642691606345
Urban,1.286,0.10924096858820327
Urban,0.653,-0.18508681872492605
Urban,1.2115,0.08332341847352502
Urban,1.001,4.340774793185929e-4
Urban,1.198,0.07845681805329256
Urban,0.9125,-0.039767126871487694
Urban,4.3309999999999995,0.6365881837298423
Urban,1.053,0.022428371185486493
Urban,1.7385000000000002,0.24017469501927727
Urban,0.8845000000000001,-0.053302162754258045
Urban,1.486,0.1720188094245565
Urban,2.7835,0.4445912256429572
Urban,0.629,-0.20134935455473107
Urban,1.5925000000000002,0.20207944100738812
Urban,2.027,0.30685374869300874
Urban,1.312,0.11793383503964149
Urban,1.229,0.08955188288645412
Urban,1.384,0.14113609012073897
Urban,1.133,0.05422990986339725
Urban,0.937,-0.02826040911222171
Urban,0.907,-0.04239271293990473
Urban,5.1615,0.7127759316766114
Urban,2.229,0.34811006848023773
Urban,0.745,-0.12784372725170717
Urban,1.437,0.15745676813422568
Urban,0.941,-0.026410376572743116
Urban,0.752,-0.12378215940835775
Urban,0.663,-0.17848647159522685
Urban,0.8285,-0.08170748724464444
Urban,1.223,0.08742645703628549
Urban,7.1185,0.8523884893737297
Urban,1.097,0.04020662757471112
Urban,0.89,-0.05060999335508721
Urban,1.706,0.2319790268315042
Urban,0.815,-0.08884239126002341
Urban,2.177,0.33785842904109437
Urban,1.8875,0.27588696030122584
Urban,4.748,0.6765107102825536
Urban,0.838,-0.07675598136972352
