LandUseType,TP,log10TP
Agricultural,0.1293,-0.888401475119606
Agricultural,0.0576,-1.239577516576788
Agricultural,0.683,-0.1655792963184674
Agricultural,0.244,-0.6126101736612706
Agricultural,0.1534,-0.8141746403870378
Agricultural,0.194,-0.712198270069774
Agricultural,0.0475,-1.3233063903751334
Agricultural,0.4446,-0.3520305416370282
Agricultural,0.154,-0.8124792791635369
Agricultural,0.0861,-1.0649968485463452
Agricultural,0.0185,-1.7328282715969863
Agricultural,0.1637,-0.7859513205880585
Agricultural,0.456,-0.341035157335565
Agricultural,0.1752,-0.7564658981679381
Agricultural,0.0306,-1.51427857351842
Agricultural,0.05194999999999999,-1.2844144481068038
Agricultural,0.1446,-0.839831707041488
Agricultural,0.086,-1.0655015487564323
Agricultural,0.115,-0.9393021596463883
Agricultural,0.05019999999999999,-1.2992962828549808
Agricultural,0.2376,-0.6241535636908441
Agricultural,0.1402,-0.8532519863693602
Agricultural,0.09035,-1.0440718431030493
Agricultural,0.08045,-1.0944739515649518
Agricultural,0.416,-0.3809066693732573
Agricultural,0.0564,-1.2487208960166578
Agricultural,0.06245,-1.2044675572898458
Agricultural,0.10905,-0.962374330085281
Agricultural,0.1012,-0.9948194874962197
Agricultural,0.041,-1.3872161432802645
Agricultural,0.0735,-1.133712660915805
Agricultural,0.07395,-1.1310618216670887
Agricultural,0.08035,-1.0950141189006366
Agricultural,0.0763,-1.1174754620451195
Agricultural,0.0525,-1.2798406965940432
Agricultural,0.0897,-1.0472075569559078
Agricultural,0.622,-0.2062096153091813
Agricultural,0.0505,-1.2967086218813386
Agricultural,0.02475,-1.6064247967304124
Agricultural,0.33599999999999997,-0.473660722610156
Forest,0.0757,-1.1209041204999273
Forest,0.0127,-1.8961962790440432
Forest,0.0498,-1.3027706572402824
Forest,0.01254999999999999,-1.9013562741829435
Forest,0.01364999999999999,-1.8648673486232255
Forest,0.0294,-1.5316526695878427
Forest,0.0127,-1.8961962790440432
Forest,0.0247,-1.6073030467403342
Forest,0.01175,-1.929962133392245
Forest,0.00915,-2.0385789059335515
Forest,0.0371,-1.4306260903849541
Forest,0.0112,-1.9507819773298183
Forest,0.0108,-1.9665762445130504
Forest,0.03519999999999999,-1.453457336521869
Forest,0.0101,-1.9956786262173574
Forest,0.0862,-1.0644927341752872
Forest,0.013,-1.8860566476931633
Forest,0.0218,-1.6615435063953952
Forest,0.0047,-2.3279021420642825
Forest,0.0331,-1.4801720062242814
Forest,0.0028,-2.5528419686577806
Forest,0.003,-2.5228787452803374
Forest,0.0248,-1.6055483191737838
Forest,0.05205,-1.283579266153445
Forest,0.1189,-0.9248181453813084
Forest,0.08549999999999999,-1.0680338852718274
Forest,0.004,-2.3979400086720375
Forest,0.01635,-1.786482243003695
Forest,0.01245,-1.904830648568245
Forest,0.0107,-1.9706162223147903
Forest,0.013,-1.8860566476931633
Forest,0.0273,-1.563837352959244
Forest,0.0753,-1.1232050237992994
Forest,0.008,-2.0969100130080562
Forest,0.0516,-1.2873502983727887
Forest,0.03555,-1.449160394934215
Forest,0.0062,-2.207608310501746
Forest,0.0274,-1.562249437179612
Forest,0.004,-2.3979400086720375
Forest,0.03,-1.5228787452803376
Urban,0.1285,-0.8910968723326866
Urban,0.2249,-0.6480105445643678
Urban,0.1467,-0.8335698861567173
Urban,0.0942,-1.0259490972071226
Urban,0.178,-0.7495799976911061
Urban,0.0847,-1.072116589669293
Urban,0.1293,-0.888401475119606
Urban,0.07125000000000001,-1.147215131319452
Urban,0.04,-1.3979400086720375
Urban,0.0588,-1.2306226739238615
Urban,0.0308,-1.5114492834995557
Urban,0.09445,-1.0247980377421475
Urban,0.0399,-1.3990271043132518
Urban,0.0551,-1.2588484011482148
Urban,0.07150000000000001,-1.1456939581989194
Urban,0.062,-1.207608310501746
Urban,0.07445,-1.1281352979118051
Urban,0.0619,-1.2083093509798821
Urban,0.047,-1.3279021420642825
Urban,0.1018,-0.99225222199926
Urban,0.1884,-0.7249191015431414
Urban,0.065,-1.1870866433571443
Urban,0.6719999999999999,-0.1726307269461748
Urban,0.2411,-0.6178027896225463
Urban,0.0393,-1.4056074496245732
Urban,0.0749,-1.1255181823005336
Urban,0.0309,-1.5100415205751654
Urban,0.0281,-1.5512936800949202
Urban,0.0147,-1.832682665251824
Urban,0.09015,-1.0450342689415792
Urban,0.14425,-0.840884178172231
Urban,0.9595,-0.01795502092850965
Urban,0.08904999999999999,-1.0503660762007376
Urban,0.0982,-1.0078885122130503
Urban,0.0633,-1.198596289982645
Urban,0.0307,-1.5128616245228135
Urban,0.1015,-0.9935339577507682
Urban,0.0311,-1.5072396109731625
Urban,1.0225,0.009663316679379398
Urban,0.19415,-0.7118626051179336
