LandUseType,TN
Agricultural,1.6749999999999998
Agricultural,6.111
Agricultural,1.29
Agricultural,3.346
Agricultural,4.489
Agricultural,4.576
Agricultural,3.967
Agricultural,2.615
Agricultural,6.888999999999999
Agricultural,1.981
Agricultural,4.306
Agricultural,3.039
Agricultural,9.796
Agricultural,0.567
Agricultural,2.512
Agricultural,4.709
Agricultural,1.404
Agricultural,5.712
Agricultural,2.8985000000000003
Agricultural,1.0915
Agricultural,9.6095
Agricultural,1.527
Agricultural,2.962
Agricultural,1.9445
Agricultural,2.072
Agricultural,3.901
Agricultural,1.3295
Agricultural,7.6425
Agricultural,4.068
Agricultural,5.6075
Agricultural,12.675
Agricultural,1.9695
Agricultural,8.3775
Agricultural,1.475
Agricultural,12.481
Agricultural,4.626
Agricultural,6.7364999999999995
Agricultural,1.811
Agricultural,3.496
Agricultural,3.822
Forest,0.714
Forest,0.329
Forest,0.8645
Forest,0.4055
Forest,0.469
Forest,0.41
Forest,0.437
Forest,0.956
Forest,0.359
Forest,0.5549999999999999
Forest,0.616
Forest,0.417
Forest,0.268
Forest,0.4535
Forest,0.115
Forest,0.605
Forest,0.35
Forest,0.7605
Forest,0.069
Forest,0.227
Forest,0.277
Forest,0.068
Forest,0.481
Forest,0.6020000000000001
Forest,0.907
Forest,1.2405
Forest,0.148
Forest,0.517
Forest,0.234
Forest,0.204
Forest,0.388
Forest,0.575
Forest,0.545
Forest,0.149
Forest,0.8155
Forest,0.108
Forest,0.382
Forest,0.451
Forest,0.1
Forest,0.2545
