pAG,TN
60.62467079,1.6749999999999998
75.54712093,6.111
64.900617762,1.29
60.66739672,3.346
69.43607088,4.489
86.89109669000001,4.576
69.707534507,3.967
75.818219294,2.615
87.873274357,6.888999999999999
50.79377394,1.981
56.54558752,4.306
80.36706114100001,3.039
82.37837838,9.796
92.44822578,0.567
54.873602242,2.512
80.666873925,4.709
74.99455001,1.404
65.82278481,5.712
91.354275409,2.8985000000000003
55.39103059,1.0915
88.731174421,9.6095
78.83956135,1.527
88.70337135999999,2.962
68.03182579400001,1.9445
82.37837838,2.072
79.56690443999999,3.901
88.322294879,1.3295
88.70337135999999,7.6425
70.87486359,4.068
70.99985777,5.6075
91.6923508,12.675
69.30636295,1.9695
88.70337135999999,8.3775
68.86983703,1.475
91.6923508,12.481
70.13669632,4.626
60.79898833,6.7364999999999995
61.80807085,1.811
59.694555118,3.496
89.21096030000001,3.822
1.743585328,0.714
12.293328806,0.329
0.13984934,0.8645
12.293328806,0.4055
0,0.469
30.63139866,0.41
0.105494663,0.437
35.287042018,0.956
0,0.359
28.617634551,0.5549999999999999
0.603894503,0.616
7.803736204,0.417
0.019461108,0.268
3.760015744,0.4535
0.465214757,0.115
2.753979488,0.605
0,0.35
2.366156638,0.7605
7.394595566,0.069
40.206350822,0.227
0.006761836,0.277
5.467424787,0.068
13.095238095,0.481
13.544514192,0.6020000000000001
4.131072658,0.907
12.85027949,1.2405
4.253460058,0.148
27.025816339,0.517
0,0.234
12.293328806,0.204
0,0.388
12.066115703,0.575
15.642293249,0.545
0,0.149
21.950979431,0.8155
0.59147967,0.108
0.00603603,0.382
7.95019491,0.451
1.491893807,0.1
4.775628023,0.2545
0.6880759080000001,0.968
0,1.286
33.55468424,0.653
1.1341127800000002,1.2115
0.7014995359999999,1.001
0.051909289,1.198
25.265647876,0.9125
15.212949025,4.3309999999999995
11.647833271,1.053
2.061752418,1.7385000000000002
1.680140396,0.8845000000000001
16.441558438,1.486
0.957035547,2.7835
2.3779926710000003,0.629
1.158093947,1.5925000000000002
0,2.027
0,1.312
0,1.229
0.051909289,1.384
0.207010029,1.133
1.225567625,0.937
0.129032258,0.907
18.693687089,5.1615
2.3486965609999997,2.229
4.547789396,0.745
0.19591781000000005,1.437
0.385860455,0.941
0,0.752
0.62991469,0.663
0,0.8285
1.153623798,1.223
0.281091115,7.1185
16.88733193,1.097
13.809253278,0.89
9.290150803,1.706
2.974462613,0.815
0,2.177
6.582345191,1.8875
4.831785521,4.748
0.02872371,0.838
