pURB,TP
0.675393589,0.1293
0.054724644,0.0576
0.7246634319999999,0.683
4.37309715,0.244
1.227850893,0.1534
0.170421918,0.194
1.678027292,0.0475
0.837308419,0.4446
4.036956361,0.154
12.770005724,0.0861
0.012189176,0.0185
2.668642399,0.1637
8.489973845,0.456
2.690653409,0.1752
0.590262107,0.0306
0.5921181050000001,0.05194999999999999
3.709676296,0.1446
20.721987809,0.086
1.558318307,0.115
1.851060438,0.05019999999999999
0.6183328220000001,0.2376
3.2860470850000003,0.1402
0.660171774,0.09035
1.817420436,0.08045
8.489973845,0.416
0.695811999,0.0564
0.6775758089999999,0.06245
0.660171774,0.10905
1.984357948,0.1012
0.30578865099999997,0.041
0.291398152,0.0735
5.981334282000001,0.07395
0.660171774,0.08035
0.371445761,0.0763
0.291398152,0.0525
0.848521814,0.0897
17.988889684,0.622
2.7638534769999996,0.0505
1.885790173,0.02475
4.896612965,0.33599999999999997
20.832615804,0.0757
0.537543145,0.0127
16.575149715000002,0.0498
0.537543145,0.01254999999999999
0,0.01364999999999999
0.088323618,0.0294
1.891751748,0.0127
0.59478436,0.0247
0,0.01175
0.41963794,0.00915
0.166379098,0.0371
3.195675773,0.0112
4.683279484,0.0108
0.751778234,0.03519999999999999
0.337204385,0.0101
0,0.0862
0,0.013
13.060483745,0.0218
0.13252768499999998,0.0047
0.112210548,0.0331
0.096256728,0.0028
0.010177634,0.003
0.57008719,0.0248
0.5133981299999999,0.05205
0.8204846650000001,0.1189
0.023316174,0.08549999999999999
0.239051049,0.004
0.34186019100000004,0.01635
6.275600897,0.01245
0.537543145,0.0107
0,0.013
0.522432113,0.0273
2.183111566,0.0753
0,0.008
0.654591987,0.0516
0,0.03555
0.103527054,0.0062
8.456191777999999,0.0274
0.18781561,0.004
1.436018168,0.03
79.911032223,0.1285
77.927084385,0.2249
39.582881454,0.1467
69.54197269,0.0942
78.949497545,0.178
89.10553807900001,0.0847
31.096759656,0.1293
59.01806841,0.07125000000000001
55.88454774,0.04
42.834659191,0.0588
80.86251044,0.0308
63.995671002,0.09445
65.81230159900001,0.0399
26.61479102,0.0551
65.14984605699999,0.07150000000000001
84.67101531399999,0.062
88.349824451999993,0.07445
77.67993484600001,0.0619
89.10553807900001,0.047
36.934560189,0.1018
44.08560343,0.1884
65.457586617,0.065
51.776849484,0.6719999999999999
78.18932376999999,0.2411
22.590350393,0.0393
48.548706402,0.0749
43.514075954,0.0309
46.519984257,0.0281
36.553824338,0.0147
52.36801241900001,0.09015
90.90765753,0.14425
74.636299816,0.9595
61.67121735,0.08904999999999999
55.903504274,0.0982
29.120227569,0.0633
28.377732869,0.0307
79.75477616100001,0.1015
76.95388669,0.0311
21.934361943,1.0225
87.12060767,0.19415
