variable,scale,LandUseType,W,p_value,test
TN,raw,Agricultural,0.8754787632886737,3.9842109202565043e-4,Shapiro-Wilk
TN,raw,Urban,0.6561868746287858,1.9960540114425365e-8,Shapiro-Wilk
TN,raw,Forest,0.9477294101398022,0.06336186329590607,Shapiro-Wilk
TN,log10,Agricultural,0.9845620031331029,0.8506962464776289,Shapiro-Wilk
TN,log10,Urban,0.889396580587617,9.53131748604122e-4,Shapiro-Wilk
TN,log10,Forest,0.9458282350542669,0.054541003884347045,Shapiro-Wilk
TP,raw,Agricultural,0.7331637954269554,3.5647330794659817e-7,Shapiro-Wilk
TP,raw,Urban,0.514263698827528,2.5108439261869866e-10,Shapiro-Wilk
TP,raw,Forest,0.7994328104168412,6.592349263489752e-6,Shapiro-Wilk
TP,log10,Agricultural,0.9735306478047883,0.462080204250444,Shapiro-Wilk
TP,log10,Urban,0.9335113910526879,0.021002512192445782,Shapiro-Wilk
TP,log10,Forest,0.9727991211613628,0.4393706675056698,Shapiro-Wilk
TN,raw,NA,21.853182721906098,8.628549249769761e-9,Levene
TN,log10,NA,1.4053482929127186,0.24939096219286985,Levene
TP,raw,NA,3.9319832119435736,0.022248513843948308,Levene
TP,log10,NA,0.6297395856797806,0.5345263710202071,Levene
